materia,topico,subtopico,cai_na_prova,dificuldade,instituicao,ano,enunciado,alt_a,alt_b,alt_c,alt_d,alt_e,gabarito,resolucao,tempo_medio_seg
"Cálculo I","Limites","Cálculo de limites",,"dificil","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to -2} \dfrac{2x^3 + 9x^2 + 12x + 4}{-x^3 - 2x^2 + 4x + 8}$","$\dfrac{3}{4}$","$-\dfrac{1}{2}$","$-\dfrac{3}{4}$","$0$","Não existe","c","Fatore: $2x^3+9x^2+12x+4=(x+2)^2(2x+1)$ e $-x^3-2x^2+4x+8=-(x+2)^2(x-2)$. O limite vira $\lim_{x\to-2}\dfrac{2x+1}{-(x-2)}=\dfrac{-3}{4}$.",
"Cálculo I","Limites","Cálculo de limites",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to -3} \dfrac{\sqrt{x^2+16}-5}{x^2+3x}$","$\dfrac{1}{5}$","$-\dfrac{1}{5}$","$\dfrac{1}{10}$","$0$","Não existe","a","Multiplique pelo conjugado: $\dfrac{x^2-9}{x(x+3)(\sqrt{x^2+16}+5)}=\dfrac{x-3}{x(\sqrt{x^2+16}+5)}$. Em $x=-3$: $\dfrac{-6}{-3 \cdot 10}=\dfrac{1}{5}$.",
"Cálculo I","Limites","Cálculo de limites",,"dificil","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 2} \dfrac{\sqrt{x^2+12}-4}{2-\sqrt{x^3-4}}$","$\dfrac{1}{6}$","$-\dfrac{1}{3}$","$0$","$-\dfrac{1}{6}$","Não existe","d","Racionalize numerador e denominador pelos conjugados e simplifique o fator $(x-2)$ comum. Resultado oficial da lista: $-\dfrac{1}{6}$.",
"Cálculo I","Limites","Cálculo de limites",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 0} \dfrac{\sqrt[5]{x^4+1}-1}{x^4}$","$0$","$\dfrac{1}{5}$","$1$","$\dfrac{1}{4}$",,"b","Com $u=x^4$, o limite vira $\lim_{u\to 0}\dfrac{(1+u)^{1/5}-1}{u}$, que é a derivada de $(1+u)^{1/5}$ em $u=0$, ou seja $\dfrac{1}{5}$.",
"Cálculo I","Limites","Cálculo de limites",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 1} \dfrac{x-1}{\sqrt[3]{x}-1}$","$\dfrac{1}{3}$","$0$","$1$","Não existe","$3$","e","Use $x-1=(\sqrt[3]{x}-1)(x^{2/3}+x^{1/3}+1)$. O limite vira $\lim_{x\to 1}(x^{2/3}+x^{1/3}+1)=3$.",
"Cálculo I","Limites","Limite fundamental",,"facil","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 0} \dfrac{\operatorname{sen}(20x)}{\operatorname{sen}(301x)}$","$\dfrac{20}{301}$","$\dfrac{301}{20}$","$1$","$0$",,"a","Multiplique e divida pelos argumentos: $\dfrac{\operatorname{sen}(20x)}{20x}\cdot\dfrac{301x}{\operatorname{sen}(301x)}\cdot\dfrac{20}{301} \to \dfrac{20}{301}$ pelo limite fundamental.",
"Cálculo I","Limites","Limite fundamental",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 0} \dfrac{\operatorname{sen}(\operatorname{sen}(2x))}{x}$","$0$","$1$","$2$","$\dfrac{1}{2}$",,"c","$\dfrac{\operatorname{sen}(\operatorname{sen}(2x))}{\operatorname{sen}(2x)}\cdot\dfrac{\operatorname{sen}(2x)}{2x}\cdot 2 \to 1 \cdot 1 \cdot 2 = 2$.",
"Cálculo I","Limites","Limite fundamental",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 0} \left( \operatorname{tg}(3x)\,\operatorname{cossec}(6x) \right)$","$2$","$\dfrac{1}{2}$","$\dfrac{1}{6}$","$0$",,"b","$\operatorname{tg}(3x)\operatorname{cossec}(6x)=\dfrac{\operatorname{tg}(3x)}{\operatorname{sen}(6x)} \approx \dfrac{3x}{6x} = \dfrac{1}{2}$ usando os limites fundamentais.",
"Cálculo I","Limites","Cálculo de limites",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to \pi/2} \dfrac{\cos x}{x - \frac{\pi}{2}}$","$1$","$0$","Não existe","$-1$",,"d","Com $u = x - \frac{\pi}{2}$: $\cos x = \cos(u+\frac{\pi}{2}) = -\operatorname{sen}(u)$, então o limite vira $\lim_{u\to 0}\dfrac{-\operatorname{sen}(u)}{u} = -1$.",
"Cálculo I","Limites","Limites laterais",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 3^-} \dfrac{\sqrt{x^2-6x+9}}{x-3}$","$-1$","$1$","$0$","Não existe",,"a","$\sqrt{x^2-6x+9}=|x-3|$. Pela esquerda, $|x-3|=-(x-3)$, então o quociente vale $-1$ constantemente.",
"Cálculo I","Limites","Limite fundamental",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 1} \dfrac{\operatorname{sen}(3x^2-5x+2)}{x^2+x-2}$","$3$","$1$","$\dfrac{1}{3}$","$0$",,"c","Fatore: $3x^2-5x+2=(3x-2)(x-1)$ e $x^2+x-2=(x+2)(x-1)$. Como $\frac{\operatorname{sen}(u)}{u}\to 1$, o limite vira $\dfrac{3x-2}{x+2}$ em $x=1$, ou seja $\dfrac{1}{3}$.",
"Cálculo I","Limites","Limites laterais",,"dificil","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 0} \dfrac{\sqrt{x^4+x^2}}{x}$","$1$","$-1$","$0$","$+\infty$","Não existe","e","$\sqrt{x^4+x^2}=|x|\sqrt{x^2+1}$, então $\dfrac{|x|\sqrt{x^2+1}}{x}$ tende a $1$ pela direita e $-1$ pela esquerda. Como os limites laterais diferem, o limite não existe.",
"Cálculo I","Limites","Limites laterais",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 2^-} \dfrac{x^2-2x}{x^2-4x+4}$","$+\infty$","$-\infty$","$0$","$1$",,"b","$\dfrac{x(x-2)}{(x-2)^2}=\dfrac{x}{x-2}$. Pela esquerda de $2$, o denominador tende a $0$ por valores negativos e o numerador a $2$, logo o limite é $-\infty$.",
"Cálculo I","Limites","Limites no infinito",,"facil","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to +\infty} \dfrac{x}{\sqrt{x+1}}$","$0$","$1$","$\dfrac{1}{2}$","$+\infty$",,"d","$\dfrac{x}{\sqrt{x+1}} = \sqrt{x}\cdot\dfrac{\sqrt{x}}{\sqrt{x+1}}$ e o segundo fator tende a $1$, então o limite é $+\infty$.",
"Cálculo I","Limites","Limites no infinito",,"facil","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to +\infty} \dfrac{2x^3 - x^2 + 7x - 3}{2 - x + 5x^2 - 4x^3}$","$-\dfrac{1}{2}$","$\dfrac{1}{2}$","$-2$","$+\infty$",,"a","Divida numerador e denominador por $x^3$: o limite é a razão dos coeficientes líderes, $\dfrac{2}{-4} = -\dfrac{1}{2}$.",
"Cálculo I","Limites","Limites no infinito",,"facil","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to +\infty} \dfrac{\sqrt{x+1}}{\sqrt{9x+1}}$","$3$","$\dfrac{1}{9}$","$\dfrac{1}{3}$","$1$",,"c","$\sqrt{\dfrac{x+1}{9x+1}} \to \sqrt{\dfrac{1}{9}} = \dfrac{1}{3}$.",
"Cálculo I","Limites","Limites no infinito",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to +\infty} \dfrac{x - \operatorname{sen} x}{x + \operatorname{sen} x}$","$0$","$1$","$-1$","Não existe",,"b","Divida por $x$: $\dfrac{1 - \frac{\operatorname{sen} x}{x}}{1 + \frac{\operatorname{sen} x}{x}}$. Como $\operatorname{sen} x$ é limitada, $\frac{\operatorname{sen} x}{x} \to 0$ e o limite é $1$.",
"Cálculo I","Limites","Limites no infinito",,"dificil","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to -\infty} \left( \sqrt{x^2+9} + x + 3 \right)$","$0$","$-\infty$","$+\infty$","$3$",,"d","$\sqrt{x^2+9}+x = \dfrac{9}{\sqrt{x^2+9}-x} \to 0$ quando $x \to -\infty$, então a expressão tende a $0 + 3 = 3$.",
"Cálculo I","Limites","Limites no infinito",,"dificil","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to +\infty} \left( \sqrt{x + \sqrt{x}} - \sqrt{x} \right)$","$\dfrac{1}{2}$","$0$","$1$","$+\infty$",,"a","Multiplicando pelo conjugado: $\dfrac{\sqrt{x}}{\sqrt{x+\sqrt{x}}+\sqrt{x}}$. Dividindo por $\sqrt{x}$, o denominador tende a $2$, logo o limite é $\dfrac{1}{2}$.",
"Cálculo I","Limites","Limites com parâmetros",,"dificil","MAT-111",2010,"Sejam $c, L \in \mathbb{R}$ tais que $\lim_{x \to 1} \dfrac{2x^3 + cx + c}{x^2 - 1} = L$. Determine $c$ e $L$.","$c = 1$ e $L = \dfrac{5}{2}$","$c = -1$ e $L = \dfrac{5}{2}$","$c = -1$ e $L = -\dfrac{5}{2}$","$c = 2$ e $L = 5$",,"b","Para o limite existir, o numerador deve se anular em $x=1$: $2 + 2c = 0$, logo $c=-1$. Então $\dfrac{2x^3-x-1}{x^2-1}=\dfrac{(x-1)(2x^2+2x+1)}{(x-1)(x+1)} \to \dfrac{5}{2}$.",
"Cálculo I","Limites","Propriedades de limites",,"medio","MAT-111",2010,"Seja $f : \mathbb{R} \to \mathbb{R}$ tal que $\lim_{x \to 2} \dfrac{f(x)}{x^2} = 1$. Calcule $\lim_{x \to 2} \dfrac{f(x)}{x}$.","$1$","$4$","$2$","$0$",,"c","$\dfrac{f(x)}{x} = \dfrac{f(x)}{x^2} \cdot x \to 1 \cdot 2 = 2$.",
"Cálculo I","Limites","Propriedades de limites",,"medio","MAT-111",2010,"Seja $f : \mathbb{R} \to \mathbb{R}$ tal que $\lim_{x \to +\infty} \dfrac{f(x)}{x^2+x} = +\infty$. Calcule $\lim_{x \to +\infty} f(x)$.","$+\infty$","$0$","$1$","Não é possível determinar",,"a","Como $x^2+x \to +\infty$ e o quociente também tende a $+\infty$, $f(x) = \dfrac{f(x)}{x^2+x}\cdot(x^2+x)$ é produto de fatores que tendem a $+\infty$.",
"Cálculo I","Funções Contínuas","Continuidade",,"medio","MAT-111",2010,"Determine o conjunto dos pontos em que a função $f$ é contínua: $$f(x) = \begin{cases} \operatorname{sen}(x^2-4)+5, & \text{se } x > 2 \\ \dfrac{x^2+x-6}{x-2}, & \text{se } x < 2 \\ 5, & \text{se } x = 2 \end{cases}$$","$\mathbb{R} \setminus \{2\}$","$\mathbb{R} \setminus \{-3, 2\}$","$]2, +\infty[$","$\mathbb{R}$",,"d","Pela direita: $\operatorname{sen}(0)+5=5$. Pela esquerda: $\dfrac{(x+3)(x-2)}{x-2}=x+3 \to 5$. Ambos coincidem com $f(2)=5$, então $f$ é contínua em toda a reta.",
"Cálculo I","Funções Contínuas","Continuidade",,"medio","MAT-111",2010,"Determine o conjunto dos pontos em que a função $f$ é contínua: $$f(x) = \begin{cases} \dfrac{|x^2-4x+3|}{x-3}, & \text{se } x \neq 3 \\ 1, & \text{se } x = 3 \end{cases}$$","$\mathbb{R} \setminus \{3\}$","$\mathbb{R}$","$\mathbb{R} \setminus \{1, 3\}$","$\mathbb{R} \setminus \{-3\}$",,"a","$|x^2-4x+3| = |(x-1)(x-3)|$. Perto de $x=3$, o quociente tende a $2$ pela direita e $-2$ pela esquerda — limites laterais diferentes, então $f$ é descontínua só em $x=3$.",
"Cálculo I","Funções Contínuas","Continuidade",,"medio","MAT-111",2010,"Determine $L$ para que a função seja contínua em $\mathbb{R}$: $$f(x) = \begin{cases} \dfrac{\operatorname{sen}(x^2+2) - \operatorname{sen}(x+2)}{x}, & \text{se } x \neq 0 \\ L, & \text{se } x = 0 \end{cases}$$","$\cos 2$","$0$","$-\cos 2$","$1$",,"c","O limite em $0$ é a derivada de $g(x)=\operatorname{sen}(x^2+2)-\operatorname{sen}(x+2)$ em $x=0$: $g'(x) = 2x\cos(x^2+2) - \cos(x+2)$, logo $g'(0) = -\cos 2$.",
"Cálculo I","Funções Contínuas","Continuidade",,"medio","MAT-111",2010,"Determine $L$ para que a função seja contínua em $\mathbb{R}$: $$f(x) = \begin{cases} \dfrac{\sqrt{x^8+x^4}}{x^2}, & \text{se } x \neq 0 \\ L, & \text{se } x = 0 \end{cases}$$","$0$","$1$","$+\infty$","Não existe $L$ que torne $f$ contínua",,"b","$\sqrt{x^8+x^4} = x^2\sqrt{x^4+1}$, então $f(x) = \sqrt{x^4+1} \to 1$ quando $x \to 0$. Basta tomar $L=1$.",
"Cálculo I","Derivadas","Derivabilidade",,"dificil","MAT-111",2010,"Encontre constantes $a$, $b$ e $c$ tais que $f(x) = \begin{cases} ax^2+bx+c, & \text{se } x < 1 \\ x^2-5x+6, & \text{se } x \geq 1 \end{cases}$ seja derivável em $\mathbb{R}$ e $f'(0) = 0$.","$a = -\dfrac{3}{2}$, $b = 0$ e $c = \dfrac{7}{2}$","$a = \dfrac{3}{2}$, $b = 0$ e $c = -\dfrac{7}{2}$","$a = -1$, $b = 1$ e $c = 2$","$a = 1$, $b = -5$ e $c = 6$",,"a","$f'(0)=b=0$. Continuidade em $1$: $a+b+c = 2$. Derivabilidade em $1$: $2a+b = -3$. Com $b=0$: $a=-\dfrac{3}{2}$ e $c = 2-a = \dfrac{7}{2}$.",
"Cálculo I","Derivadas","Definição de derivada",,"dificil","MAT-111",2010,"Seja $f : \mathbb{R} \to \mathbb{R}$ derivável em $a \in \,]0,+\infty[$. Calcule, em termos de $f'(a)$: $\lim_{x \to a} \dfrac{f(x)-f(a)}{\sqrt{x}-\sqrt{a}}$","$f'(a)$","$\dfrac{f'(a)}{2\sqrt{a}}$","$\sqrt{a}\, f'(a)$","$2\sqrt{a}\, f'(a)$",,"d","Escreva $\dfrac{f(x)-f(a)}{x-a} \cdot \dfrac{x-a}{\sqrt{x}-\sqrt{a}}$. O segundo fator vale $\sqrt{x}+\sqrt{a} \to 2\sqrt{a}$, então o limite é $2\sqrt{a}\,f'(a)$.",
"Cálculo I","Derivadas","Reta tangente",,"medio","MAT-111",2010,"A reta $y = -x$ é tangente à curva $y = x^3 - 6x^2 + 8x$. Encontre o ponto de tangência.","$(0, 0)$","$(3, -3)$","$(1, 3)$","$(2, 0)$",,"b","A tangência exige $y'(x_0) = 3x_0^2 - 12x_0 + 8 = -1$ e o ponto na reta: $x_0^3-6x_0^2+8x_0 = -x_0$. Resolvendo, $x_0 = 3$ e $y_0 = 27-54+24 = -3$.",
"Cálculo I","Derivadas","Regra da cadeia",,"dificil","MAT-111",2010,"Sejam $f : \mathbb{R} \to \mathbb{R}$ derivável até 2ª ordem e $g(x) = x\, f(x + 1 + \operatorname{sen}(2x))$. Supondo $f'(1) = -2$, calcule $g''(0)$.","$12$","$-6$","$-12$","$0$",,"c","Com $u(x) = x+1+\operatorname{sen}(2x)$: $u(0)=1$ e $u'(0)=3$. Derivando $g'(x) = f(u) + x f'(u)u'$ de novo e avaliando em $0$: $g''(0) = 2f'(1)\cdot u'(0) = 2(-2)(3) = -12$.",
"Cálculo I","Derivadas","Regra da cadeia",,"dificil","MAT-111",2010,"Sabe-se que $f : \mathbb{R} \to \mathbb{R}$ é derivável e que a reta tangente ao gráfico de $f$ no ponto de abscissa $3$ é $x + 2y = 6$. Seja $g(x) = \left( f(\sqrt{9+4x}) \right)^2$. Determine $g'(0)$.","$-1$","$1$","$-\dfrac{1}{2}$","$0$",,"a","Da reta tangente: $f(3) = \dfrac{3}{2}$ e $f'(3) = -\dfrac{1}{2}$. Com $u=\sqrt{9+4x}$, $u(0)=3$ e $u'(0)=\dfrac{2}{3}$: $g'(0) = 2f(3)f'(3)u'(0) = 2 \cdot \dfrac{3}{2} \cdot \left(-\dfrac{1}{2}\right) \cdot \dfrac{2}{3} = -1$.",
